Column1	Tokens	POS					
187	постели	NOUN					
188	.	ADP					
189	Атом	NOUN					
190	уже	ADV					
191	согласился	VERB					
192	стать	VERB					
193	мирным	ADJ					
194	,	PUNCT					
195	реки	NOUN					
196	были	VERB					
197	готовы	ADJ					
198	течь	VERB					
199	куда	ADV					
200	следует	VERB					
201	,	ADP					
202	а	CONJ					
203	не	PART					
204	куда	ADV					
205	им	PRON					
206	заблагорассудится	VERB					
207	.	PUNCT					
208	В	ADP					
209	днище	NOUN					
210	лодки	NOUN					
211	была	VERB					
212	обнаружена	VERB					
213	течь	NOUN					
214	.	PUNCT					
215	Однажды	ADV					
216	кот	NOUN					
217	подкрался	VERB					
218	к	ADP					
219	попугаю	NOUN					
220	:	PUNCT					
221	«	PUNCT					
222	Сейчас	ADV					
223	тебя	PRON					
224	я	PRON					
225	,	PUNCT					
226	братец	NOUN					
227	,	PUNCT					
228	попугаю	VERB					
229	…	PUNCT					
230	»	PUNCT					
231	Но	CONJ					
232	попугай	NOUN					
233	из	ADP					
234	клетки	NOUN					
235	крикнул	VERB					
236	:	PUNCT					
237	«	PUNCT					
238	Брысь	INTJ					
239	!	PUNCT					
240	»	PUNCT					
241	Что	CONJ					
242	серый	ADJ					
243	кот	NOUN					
244	,	PUNCT					
245	здесь	ADV					
246	убежала	VERB					
247	б	PART					
248	рысь	NOUN					
249	!	PUNCT					
250	Владимир	NOUN					
251	Александрович	NOUN					
252	любезно	ADV					
253	ответил	VERB					
254	мне	PRON					
255	,	PUNCT					
256	что	CONJ					
257	надпись	NOUN					
258	он	PRON					
259	помнит	VERB					
260	смутно	ADV					
261	,	PUNCT					
262	но	CONJ					
263	в	ADP					
264	старых	ADJ					
265	записных	ADJ					
266	книжках	NOUN					
267	сохранил	VERB					
268	краткую	ADJ					
269	запись	NOUN					
270	:	PUNCT					
271	«	PUNCT					
272	Могила	NOUN					
273	англ	ADJ					
274	.	PUNCT					
275	офиц	NOUN					
276	.	PUNCT					
277	и	CONJ					
278	30	NUM					
279	матросов	NOUN					
